Day,USD_TRY,USD_RUB
1,1.2827,25.4951
2,1.2749,25.457
3,1.2754,25.4802
4,1.2757,25.4633
5,1.2745,25.4358
6,1.2646,25.4157
7,1.2709,25.3908
8,1.2495,25.4065
9,1.244,25.3902
10,1.2457,25.4883
11,1.284,25.469
12,1.3032,25.5959
13,1.3055,25.5514
14,1.2756,25.5537
15,1.2922,25.5867
16,1.279,25.5719
17,1.2752,25.4882
18,1.2832,25.4849
19,1.2752,25.4781
20,1.2572,25.4403
21,1.283,25.4683
22,1.2993,25.4632
23,1.2888,25.5367
24,1.3061,25.6042
25,1.3325,25.7088
26,1.3926,25.7711
27,1.3667,25.7601
28,1.3507,25.792
29,1.3613,25.8902
30,1.3354,25.7594
31,1.3282,25.7387
32,1.3327,25.6908
33,1.3185,25.67
34,1.3293,25.7461
35,1.3261,25.6378
36,1.3138,25.653
37,1.3026,25.656
38,1.2991,25.6108
39,1.3046,25.674
40,1.3022,25.6391
41,1.3,25.6327
42,1.298,25.5717
43,1.2984,25.5271
44,1.2872,25.4519
45,1.2754,25.3757
46,1.2636,25.3559
47,1.2643,25.3358
48,1.2665,25.3238
49,1.2604,25.3116
50,1.2337,25.1855
51,1.236,25.0783
52,1.225,25.04
53,1.2276,25.0172
54,1.2325,24.9697
55,1.2214,24.9818
56,1.2138,24.9581
57,1.2072,24.8588
58,1.2031,24.8755
59,1.2107,24.9487
60,1.2033,25.0094
61,1.2046,24.9647
62,1.1852,24.9689
63,1.1868,25.0505
64,1.186,24.9951
65,1.1886,24.9542
66,1.1862,24.9109
67,1.1961,24.9279
68,1.2087,24.9009
69,1.216,24.9293
70,1.2046,24.8997
71,1.2085,24.8156
72,1.2023,24.8466
73,1.2307,24.9374
74,1.2139,24.8606
75,1.21,24.8644
76,1.198,24.8053
77,1.1889,24.7261
78,1.1905,24.6923
79,1.1877,24.6885
80,1.1744,24.6556
81,1.18,24.6919
82,1.1842,24.6195
83,1.1891,24.6617
84,1.1724,24.5767
85,1.1727,24.487
86,1.184,24.4626
87,1.199,24.4566
88,1.2094,24.6068
89,1.1988,24.5396
90,1.174,24.4867
91,1.1845,24.5283
92,1.1882,24.4916
93,1.1885,24.4789
94,1.192,24.3303
95,1.2052,24.3085
96,1.1972,24.311
97,1.2057,24.3186
98,1.1953,24.285
99,1.2238,24.3293
100,1.1959,24.3127
101,1.19,24.4157
102,1.1757,24.501
103,1.1833,24.4714
104,1.1854,24.3873
105,1.1775,24.5278
106,1.1775,24.4977
107,1.1722,24.4797
108,1.1688,24.4289
109,1.1685,24.4741
110,1.1685,24.4391
111,1.1731,24.5023
112,1.1842,24.6822
113,1.1907,24.7101
114,1.1857,24.703
115,1.1897,24.7324
116,1.1948,24.7768
117,1.1892,24.7345
118,1.1807,24.7185
119,1.182,24.7197
120,1.1765,24.6439
121,1.176,24.6064
122,1.1698,24.4882
123,1.17,24.6006
124,1.1694,24.6368
125,1.1706,24.4932
126,1.1678,24.4554
127,1.1693,24.4607
128,1.16,24.4997
129,1.1612,24.4862
130,1.1568,24.4845
131,1.1532,24.3567
132,1.1508,24.3806
133,1.1508,24.2868
134,1.1713,24.3481
135,1.1782,24.4876
136,1.1849,24.5003
137,1.2133,24.5226
138,1.2107,24.7438
139,1.2052,24.6705
140,1.1838,24.6685
141,1.1821,24.4733
142,1.1881,24.542
143,1.1799,24.4752
144,1.1776,24.4819
145,1.1766,24.4094
146,1.1673,24.4353
147,1.166,24.491
148,1.1794,24.493
149,1.1861,24.6283
150,1.2071,24.6429
151,1.2114,24.7859
152,1.2295,24.7394
153,1.2117,24.6901
154,1.2027,24.627
155,1.1951,24.6641
156,1.2016,24.6125
157,1.1941,24.5866
158,1.1934,24.5817
159,1.2131,24.5452
160,1.2031,24.5466
161,1.2063,24.4729
162,1.2036,24.436
163,1.1923,24.4382
164,1.1829,24.2583
165,1.1825,24.0913
166,1.2031,23.998
167,1.2193,24.0143
168,1.2109,24.0211
169,1.2137,24.0042
170,1.2228,23.9539
171,1.2415,23.8255
172,1.2468,23.8529
173,1.2303,23.8705
174,1.2195,23.875
175,1.243,23.6946
176,1.2305,23.6204
177,1.2609,23.5954
178,1.2338,23.5448
179,1.2335,23.6305
180,1.2459,23.6369
181,1.251,23.8081
182,1.2374,23.7941
183,1.2519,23.8032
184,1.269,23.6155
185,1.275,23.4511
186,1.3043,23.503
187,1.3241,23.4892
188,1.3113,23.4929
189,1.2925,23.6438
190,1.2993,23.5645
191,1.2925,23.5834
192,1.2819,23.5373
193,1.2913,23.5533
194,1.2954,23.5541
195,1.3086,23.457
196,1.3063,23.5332
197,1.3132,23.4686
198,1.3129,23.4516
199,1.3241,23.4888
200,1.3303,23.362
201,1.3095,23.3891
202,1.3117,23.464
203,1.3094,23.3937
204,1.2938,23.3179
205,1.2873,23.4077
206,1.2941,23.5709
207,1.2784,23.6236
208,1.2859,23.5898
209,1.2792,23.6733
210,1.2784,23.6377
211,1.2585,23.7781
212,1.2601,23.8012
213,1.26,23.7577
214,1.2485,23.7114
215,1.2653,23.8224
216,1.2672,23.8267
217,1.2608,23.7414
218,1.2502,23.6886
219,1.2526,23.8083
220,1.2439,23.8792
221,1.2315,23.893
222,1.232,23.7255
223,1.2421,23.7904
224,1.2423,23.7052
225,1.2472,23.5559
226,1.2462,23.6121
227,1.2461,23.5456
228,1.2454,23.5136
229,1.2281,23.6228
230,1.2209,23.6222
231,1.2186,23.7098
232,1.2275,23.684
233,1.2272,23.7079
234,1.2382,23.7878
235,1.2298,23.8014
236,1.2426,23.6753
237,1.2433,23.5375
238,1.2551,23.6535
239,1.2645,23.6952
240,1.2558,23.6377
241,1.2555,23.7507
242,1.2468,23.7824
243,1.2275,23.6817
244,1.2287,23.6485
245,1.2256,23.6256
246,1.2298,23.6478
247,1.2304,23.5709
248,1.2313,23.64
249,1.2163,23.5733
250,1.2181,23.5202
251,1.2284,23.4358
252,1.2264,23.4102
253,1.2443,23.4446
254,1.2383,23.4279
255,1.249,23.3714
256,1.2359,23.519
257,1.2269,23.4851
258,1.2283,23.4682
259,1.2215,23.5206
260,1.2224,23.4233
261,1.2234,23.3554
262,1.2175,23.2507
263,1.2199,23.1577
264,1.2158,23.1656
265,1.2032,23.257
266,1.1913,23.2234
267,1.1908,23.2161
268,1.1998,23.182
269,1.2036,23.2991
270,1.2058,23.3568
271,1.2062,23.3843
272,1.2039,23.3821
273,1.2,23.3408
274,1.1835,23.4485
275,1.1639,23.4431
276,1.1543,23.4318
277,1.1535,23.4846
278,1.1559,23.411
279,1.1634,23.563
280,1.1752,23.6516
281,1.1887,23.6833
282,1.1877,24.2381
283,1.1804,24.4246
284,1.1855,24.2481
285,1.1831,24.2199
286,1.1873,24.3847
287,1.1893,24.6088
288,1.1907,24.5539
289,1.193,24.4741
290,1.1884,24.3902
291,1.1861,24.2851
292,1.1879,24.384
293,1.1908,24.4393
294,1.189,24.6621
295,1.1853,24.6125
296,1.1844,24.6402
297,1.1861,24.645
298,1.1968,24.674
299,1.2137,24.7883
300,1.2415,25.1257
301,1.2387,25.4508
302,1.2265,25.4818
303,1.2373,25.5398
304,1.2454,25.5841
305,1.257,25.7405
306,1.239,25.7442
307,1.2645,25.5285
308,1.2655,25.51
309,1.2883,25.6158
310,1.2702,25.4354
311,1.2458,25.4148
312,1.239,25.2812
313,1.2453,25.0281
314,1.2445,25.0998
315,1.2296,25.0343
316,1.2284,25.0402
317,1.2767,25.0408
318,1.2695,25.3059
319,1.272,25.6439
320,1.3168,25.7333
321,1.311,25.9225
322,1.3746,25.9801
323,1.3873,26.2594
324,1.4015,26.1739
325,1.4275,26.1071
326,1.429,26.1425
327,1.384,26.214
328,1.3839,26.1912
329,1.467,26.1359
330,1.5035,26.2525
331,1.495,26.3007
332,1.5108,26.3566
333,1.591,26.3608
334,1.7096,26.7083
335,1.6548,26.9277
336,1.6912,26.8475
337,1.63,27.1991
338,1.535,27.3368
339,1.5015,27.1361
340,1.5248,26.8226
341,1.5423,26.8281
342,1.5465,27.069
343,1.4847,27.1557
344,1.53,26.8061
345,1.5682,26.8248
346,1.5467,27.0435
347,1.5478,27.0304
348,1.5955,27.0535
349,1.6525,27.5743
350,1.631,27.5744
351,1.615,27.2898
352,1.633,27.3724
353,1.6585,27.4347
354,1.732,27.4683
355,1.7271,27.6196
356,1.6603,27.6405
357,1.5842,27.509
358,1.5621,27.3074
359,1.575,27.2356
360,1.5725,27.4384
361,1.563,27.4255
362,1.598,27.9231
363,1.577,28.0189
364,1.5747,27.8993
365,1.5628,27.9034
366,1.5984,27.8013
367,1.5707,28.1725
368,1.5695,27.8891
369,1.555,27.9279
370,1.5365,27.825
371,1.5573,27.6853
372,1.5635,27.686
373,1.5434,27.6212
374,1.527,27.3161
375,1.509,27.2542
376,1.5275,27.4958
377,1.5325,28.173
378,1.5178,28.4763
379,1.5203,28.4332
380,1.5142,28.6802
381,1.51,28.7
382,1.5184,28.991
383,1.521,29.5807
384,1.5405,29.4145
385,1.538,29.4027
386,1.5355,29.1475
387,1.5317,29.4047
388,1.512,29.1922
389,1.5544,29.1574
390,1.56,30.491
391,1.5593,30.4355
392,1.594,30.894
393,1.5931,31.1175
394,1.6255,31.3087
395,1.6087,31.7365
396,1.63,32.3669
397,1.6457,32.53
398,1.672,33.388
399,1.6511,32.9967
400,1.6523,32.6543
401,1.668,32.6343
402,1.633,32.859
403,1.6285,32.7926
404,1.617,33.0615
405,1.6372,33.919
406,1.6432,35.0885
407,1.6491,35.7364
408,1.637,36.13
409,1.645,35.9697
410,1.6265,36.2747
411,1.617,36.3701
412,1.6123,36.1653
413,1.6428,35.8811
414,1.6365,35.844
415,1.647,35.0995
416,1.6475,34.6473
417,1.6691,34.6258
418,1.6974,35.1582
419,1.698,36.3496
420,1.6984,36.3358
421,1.7005,35.8934
422,1.697,35.9353
423,1.683,36.0719
424,1.69,35.839
425,1.6915,35.8258
426,1.7001,35.665
427,1.7325,35.9137
428,1.7341,36.1723
429,1.7199,36.2292
430,1.7882,35.9451
431,1.7902,35.8987
432,1.808,35.7676
433,1.7556,35.651
434,1.7425,35.0489
435,1.6943,34.9887
436,1.703,35.0001
437,1.696,34.681
438,1.6981,34.6429
439,1.6862,34.4936
440,1.7113,33.9635
441,1.6906,33.3446
442,1.662,33.5061
443,1.6529,33.1953
444,1.6608,33.4827
445,1.6543,33.5805
446,1.671,33.411
447,1.6855,33.7845
448,1.665,33.9795
449,1.6221,33.954
450,1.593,33.9555
451,1.5798,33.3881
452,1.588,33.3075
453,1.6005,33.3653
454,1.5817,33.5714
455,1.5679,33.67
456,1.5682,33.6332
457,1.5712,33.509
458,1.5956,33.2925
459,1.5978,33.4075
460,1.602,33.4142
461,1.6104,33.4083
462,1.6545,33.4626
463,1.6391,33.9195
464,1.6372,34.1815
465,1.637,33.9236
466,1.6087,33.501
467,1.63,33.1886
468,1.6065,33.4705
469,1.5877,33.3718
470,1.5973,33.192
471,1.591,33.1005
472,1.5646,33.0628
473,1.567,32.8035
474,1.5589,32.8541
475,1.5613,32.7948
476,1.5387,32.5905
477,1.5713,32.3452
478,1.564,32.285
479,1.579,32.135
480,1.5669,32.0225
481,1.5708,32.1325
482,1.5422,32.1275
483,1.535,32.0611
484,1.5267,31.8562
485,1.5375,31.5523
486,1.5485,31.3242
487,1.5374,31.0525
488,1.5567,31.0011
489,1.5652,31.2961
490,1.5609,31.2439
491,1.5333,31.3292
492,1.5233,30.97
493,1.5218,30.6191
494,1.5475,30.5471
495,1.5357,30.9204
496,1.5366,30.8333
497,1.5573,30.878
498,1.5462,31.4016
499,1.5513,31.1328
500,1.5348,30.9336
501,1.5323,30.8587
502,1.5485,30.938
503,1.5507,31.3056
504,1.5598,31.2075
505,1.5523,31.2538
506,1.5503,31.1871
507,1.5787,31.0838
508,1.5666,31.3702
509,1.554,31.184
510,1.5473,31.2487
511,1.5336,31.3124
512,1.5397,31.1214
513,1.5403,31.2003
514,1.526,31.1527
515,1.5408,31.0113
516,1.5351,31.2279
517,1.543,31.2771
518,1.5497,31.459
519,1.562,31.5295
520,1.5428,31.8938
521,1.5509,31.7497
522,1.5433,32.6983
523,1.5461,32.7668
524,1.5273,32.2492
525,1.524,31.8611
526,1.5251,31.6594
527,1.505,31.7713
528,1.5067,31.0415
529,1.4891,31.031
530,1.4928,31.1534
531,1.4783,31.1505
532,1.4745,30.9989
533,1.48,30.732
534,1.5009,31.097
535,1.4787,31.6297
536,1.4707,31.5112
537,1.453,31.4644
538,1.4611,30.966
539,1.4653,31.063
540,1.4794,31.1735
541,1.4637,31.3367
542,1.482,31.655
543,1.5005,31.8556
544,1.4915,32.2192
545,1.4755,32.3718
546,1.4895,31.764
547,1.5052,31.6742
548,1.493,32.2431
549,1.4973,31.9352
550,1.4908,31.8356
551,1.4845,31.8357
552,1.4972,31.647
553,1.4933,31.3849
554,1.508,31.296
555,1.4997,31.5693
556,1.498,31.6955
557,1.5006,31.6199
558,1.5184,31.7919
559,1.5128,31.9135
560,1.5053,31.9396
561,1.4897,31.7512
562,1.4883,31.5799
563,1.4872,31.4912
564,1.4999,31.2091
565,1.4967,31.0179
566,1.492,30.8598
567,1.4929,30.6555
568,1.4767,30.8054
569,1.471,30.7875
570,1.4681,30.567
571,1.4813,30.352
572,1.492,30.235
573,1.4778,30.367
574,1.4825,30.0875
575,1.4884,29.9967
576,1.4842,30.0741
577,1.4922,30.1423
578,1.4915,30.138
579,1.4848,30.127
580,1.5001,30.0154
581,1.4925,30.0905
582,1.4804,30.16
583,1.4675,29.999
584,1.4696,29.8252
585,1.4594,29.7585
586,1.4635,29.5264
587,1.4564,29.6426
588,1.4549,29.4913
589,1.4425,29.5458
590,1.4448,29.4119
591,1.461,29.384
592,1.4506,29.427
593,1.4655,29.2855
594,1.4633,29.2325
595,1.4648,29.093
596,1.472,29.0708
597,1.4898,28.9472
598,1.4944,29.051
599,1.508,29.297
600,1.489,29.2643
601,1.5054,29.1766
602,1.5016,29.1384
603,1.5018,29.2424
604,1.4914,29.3473
605,1.4859,29.177
606,1.4839,29.0204
607,1.4731,29.0719
608,1.4769,28.7305
609,1.4747,28.7329
610,1.484,28.7057
611,1.4759,28.89
612,1.476,28.8545
613,1.4802,28.688
614,1.4801,28.8145
615,1.4923,28.702
616,1.4974,28.8058
617,1.4973,29.007
618,1.4973,28.7907
619,1.4875,28.813
620,1.5289,28.7815
621,1.5234,29.257
622,1.5273,29.3322
623,1.5022,29.264
624,1.5015,29.056
625,1.4866,29.358
626,1.4925,29.1646
627,1.4878,29.483
628,1.5072,29.8972
629,1.5071,30.599
630,1.4988,30.4594
631,1.507,30.425
632,1.4997,30.2624
633,1.5097,30.063
634,1.507,30.1915
635,1.5208,30.267
636,1.5196,30.8339
637,1.5246,30.6441
638,1.5253,30.5145
639,1.5205,30.5485
640,1.5147,30.1999
641,1.5123,29.6173
642,1.5119,29.675
643,1.5107,29.7195
644,1.5079,30.156
645,1.4986,30.3135
646,1.4739,30.035
647,1.4727,29.905
648,1.4712,29.836
649,1.4708,29.715
650,1.4585,29.775
651,1.4493,29.765
652,1.4533,29.327
653,1.4519,29.5095
654,1.4561,29.5967
655,1.457,29.475
656,1.4513,29.545
657,1.4563,29.5909
658,1.4743,29.606
659,1.4866,29.7513
660,1.4884,29.756
661,1.4867,29.84
662,1.4917,30.1172
663,1.5001,30.3188
664,1.4964,30.3078
665,1.4972,30.3568
666,1.4824,30.3482
667,1.4871,30.3324
668,1.4935,30.115
669,1.525,29.995
670,1.5289,30.4295
671,1.5221,30.46
672,1.5102,30.4861
673,1.5152,30.249
674,1.5115,30.315
675,1.5146,30.1775
676,1.5166,30.2025
677,1.5044,30.2252
678,1.5127,30.0268
679,1.5235,30.1235
680,1.5132,30.03
681,1.5309,30.0125
682,1.5517,29.985
683,1.5444,29.99
684,1.5472,30.021
685,1.5498,30.0405
686,1.5366,29.9485
687,1.534,29.9635
688,1.5387,29.853
689,1.5513,29.763
690,1.5395,29.866
691,1.5316,29.7916
692,1.5327,29.753
693,1.5314,29.744
694,1.5321,29.568
695,1.5278,29.474
696,1.5276,29.2977
697,1.5204,29.432
698,1.5136,29.3458
699,1.5263,29.1362
700,1.5359,29.2924
701,1.5379,29.3253
702,1.5356,29.5268
703,1.5514,29.5203
704,1.5444,29.6675
705,1.5385,29.58
706,1.5288,29.6215
707,1.53,29.5263
708,1.5176,29.507
709,1.5153,29.4205
710,1.5149,29.27
711,1.5075,29.27
712,1.5042,29.1888
713,1.5007,29.3263
714,1.4968,29.3095
715,1.4887,29.4194
716,1.4861,29.1525
717,1.4841,29.0261
718,1.4735,29.1
719,1.4708,28.9194
720,1.4852,29.0239
721,1.4909,29.092
722,1.4874,29.1835
723,1.4818,29.1398
724,1.4862,29.126
725,1.4825,29.2218
726,1.4747,29.1225
727,1.5038,29.106
728,1.4974,29.3462
729,1.4843,29.44
730,1.4882,29.1928
731,1.4921,29.2537
732,1.5231,29.355
733,1.5358,29.6613
734,1.5942,30.051
735,1.5608,30.5988
736,1.5261,30.615
737,1.5361,30.1567
738,1.5232,30.1548
739,1.5226,29.9725
740,1.5454,30.01
741,1.543,30.505
742,1.5625,30.6575
743,1.5738,30.435
744,1.598,30.8213
745,1.5777,31.425
746,1.5771,31.0775
747,1.5818,30.9225
748,1.5878,31.53
749,1.5594,31.1425
750,1.5675,30.5388
751,1.573,30.6575
752,1.5839,30.9025
753,1.5763,31.01
754,1.5863,31.0625
755,1.6077,31.09
756,1.6128,31.4763
757,1.6011,31.7775
758,1.6035,31.8
759,1.5798,31.4813
760,1.579,31.465
761,1.5768,31.5816
762,1.5636,31.654
763,1.563,31.2325
764,1.5615,31.1388
765,1.555,31.043
766,1.5577,30.9961
767,1.5668,30.7851
768,1.5715,30.8893
769,1.58,31.1599
770,1.5735,31.0038
771,1.5742,31.0306
772,1.5918,31.0394
773,1.5845,31.3363
774,1.5799,31.2095
775,1.5655,31.2763
776,1.5644,31.115
777,1.555,31.175
778,1.552,30.9588
779,1.551,31.0638
780,1.5543,30.9125
781,1.5554,30.8425
782,1.5444,30.8088
783,1.54,30.555
784,1.5334,30.515
785,1.5399,30.4775
786,1.5388,30.5324
787,1.5304,30.5088
788,1.5339,30.4644
789,1.5205,30.4562
790,1.5224,30.3681
791,1.513,30.4063
792,1.5088,30.23
793,1.5123,30.2463
794,1.5125,30.2488
795,1.5078,30.1663
796,1.4948,30.205
797,1.4928,29.9625
798,1.498,29.685
799,1.5028,29.825
800,1.4893,29.8775
801,1.4923,29.8113
802,1.4981,29.91
803,1.521,30.115
804,1.5202,30.4675
805,1.5177,30.5113
806,1.5112,30.5975
807,1.4977,30.4793
808,1.5027,30.3787
809,1.5109,30.4169
810,1.5142,30.5081
811,1.5291,30.6525
812,1.5333,30.6969
813,1.527,30.8538
814,1.523,30.9388
815,1.5161,30.7663
816,1.5262,30.6438
817,1.5265,30.7238
818,1.5165,30.8038
819,1.5105,30.6938
820,1.5,30.7013
821,1.5027,30.6313
822,1.5175,30.6238
823,1.5155,30.8813
824,1.512,30.8252
825,1.5103,30.8675
826,1.4954,30.8513
827,1.491,30.6438
828,1.4909,30.5962
829,1.4955,30.9788
830,1.494,31.16
831,1.4913,31.0125
832,1.4869,31.0088
833,1.4856,31.0763
834,1.4863,31.045
835,1.4735,31
836,1.4726,30.6925
837,1.4643,30.5358
838,1.4521,30.39
839,1.4456,30.4085
840,1.4421,30.535
841,1.4546,30.4525
842,1.4281,30.4692
843,1.4196,30.0413
844,1.4268,29.7325
845,1.4156,29.8568
846,1.4144,29.847
847,1.4097,29.91
848,1.4066,30.0791
849,1.4075,30.0881
850,1.4142,30.0625
851,1.4164,30.3006
852,1.4382,30.385
853,1.4252,30.64
854,1.4289,30.6769
855,1.4263,30.5713
856,1.4161,30.4244
857,1.4274,30.3331
858,1.4419,30.45
859,1.4311,30.7421
860,1.4329,30.6494
861,1.4261,30.8006
862,1.4126,30.8063
863,1.4038,30.7419
864,1.395,30.8356
865,1.397,30.59
866,1.4092,30.6319
867,1.4162,30.7874
868,1.4162,30.7106
869,1.4367,30.6825
870,1.4395,30.635
871,1.4462,30.8588
872,1.464,30.9504
